Five Year Birth Cohort,1,2,3,4,5,6,7,8,9,10
1955 female,7.656837,7.678956,7.67546,7.685635,7.662349,7.698973,7.708591,7.676943,7.701982,7.681641
1955 male,7.691224,7.706522,7.709463,7.721229,7.72052,7.732692,7.737744,7.693283,7.70852,7.721333
1975 female,7.651674,7.6769,7.67974,7.688073,7.660829,7.705904,7.710671,7.67769,7.708563,7.693904
1975 male,7.683929,7.696463,7.707284,7.715515,7.712727,7.719319,7.72761,7.680711,7.713214,7.718654
,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10
1955 Cohort,-0.034387,-0.027566,-0.034003,-0.035594,-0.058171,-0.033719,-0.029153,-0.01634,-0.006538,-0.039692
1975 Cohort,-0.032255,-0.019563,-0.027544,-0.027442,-0.051898,-0.013415,-0.016939,-0.003021,-0.004651,-0.02475
