,1950,1955,1960,1965,1970,1975,1980,1985,1990
Potential Hours Index Major,-0.040,-0.037,-0.031,-0.025,-0.024,-0.021,-0.021,-0.022,-0.023
Potential Hours Index Occupation,-0.037,-0.036,-0.031,-0.029,-0.027,-0.025,-0.022,-0.020,-0.017
