,1950,1955,1960,1965,1970,1975,1980,1985,1990
Potential Wage Index Major,-0.1242054,-0.112391,-0.1068708,-0.0947589,-0.0907502,-0.0812011,-0.0833243,-0.0853361,-0.0957324
Potential Wage Index Occupation,-0.1412459,-0.1451241,-0.1412992,-0.1329329,-0.1251624,-0.1134409,-0.1045959,-0.1010738,-0.1023238
